9530003J23Rik	LYZ
Tbx18	TBX18
TBX18	Tbx18
Tbx15	TBX15
TBX15	Tbx15
Cp	CP
CP	Cp
Wnt2	WNT2
WNT2	Wnt2
App	APP
APP	App
Gdf1	GDF1
GDF1	Gdf1
Gdf3	GDF3
GDF3	Gdf3
Psmb8	PSMB8
PSMB8	Psmb8
Ldb2	LDB2
LDB2	Ldb2
Map2k6	MAP2K6
MAP2K6	Map2k6
Eif4e1b	EIF4E1B
EIF4E1B	Eif4e1b
Tbx2	TBX2
TBX2	Tbx2
Pbx4	PBX4
PBX4	Pbx4
Gli2	GLI2
GLI2	Gli2
Mmp21	MMP21
MMP21	Mmp21
Hhex	HHEX
HHEX	Hhex
Tradd	TRADD
TRADD	Tradd
Adh5	ADH5
ADH5	Adh5
Zbtb22	ZBTB22
ZBTB22	Zbtb22
Rrm1	RRM1
RRM1	Rrm1
Hoxd12	HOXD12
HOXD12	Hoxd12
Pax2	PAX2
PAX2	Pax2
Runx3	RUNX3
RUNX3	Runx3
Pgr	PGR
PGR	Pgr
Per3	PER3
PER3	Per3
Pim2	PIM2
PIM2	Pim2
Hoxc5	HOXC5
HOXC5	Hoxc5
Fbxw4	FBXW4
FBXW4	Fbxw4
Arnt2	ARNT2
ARNT2	Arnt2
Hoxb8	HOXB8
HOXB8	Hoxb8
Npy4r	NPY4R
NPY4R	Npy4r
Evx2	EVX2
EVX2	Evx2
Tbx4	TBX4
TBX4	Tbx4
Pycard	PYCARD
PYCARD	Pycard
Isl2	ISL2
ISL2	Isl2
Hoxa9	HOXA9
HOXA9	Hoxa9
Gata6	GATA6
GATA6	Gata6
Atoh1	ATOH1
ATOH1	Atoh1
Ins2	INS,INS-IGF2
INS	Ins2,Ins1
INS-IGF2	Ins2,Ins1
Ins1	INS,INS-IGF2
Hoxb7	HOXB7
HOXB7	Hoxb7
Lpl	LPL
LPL	Lpl
Hoxc6	HOXC6
HOXC6	Hoxc6
Rag1	RAG1
RAG1	Rag1
Neurod6	NEUROD6
NEUROD6	Neurod6
Cd81	CD81
CD81	Cd81
Mid1ip1	MID1IP1
MID1IP1	Mid1ip1
Shh	SHH
SHH	Shh
Olfr1219	OR4C15
OR4C15	Olfr1219,Olfr1223,Olfr1218,Olfr1217,Olfr1214,Olfr1215,Olfr1228,Olfr1221,Olfr1216,Olfr1222,Olfr1225,Olfr1211,Olfr1226,Olfr1220,Olfr1229,Olfr1213,Olfr1212,Olfr1232
Olfr1223	OR4C15
Olfr1218	OR4C15
Olfr464	OR4D1
OR4D1	Olfr464
Olfr1217	OR4C15
Olfr1249	OR4A16
Olfr1214	OR4C15
Olfr1215	OR4C15
Olfr1228	OR4C15
Mapk8	MAPK8
MAPK8	Mapk8
